id;degree_name;institute;year_of_passing;marks;marks_type;grade;start_date;end_date;is_complete;degree_type;description
1;neural Cotton;morph;37581;95650;CGPA;SECOND;2021-08-11;2021-08-11;false;HSC;transmitter Wooden
2;Saudi;overriding Incredible;50810;90316;CGPA;SECOND;2021-08-12;2021-08-11;true;Doctrol;transform
3;Valleys;Island Indiana;74244;32967;GPA;SECOND;2021-08-11;2021-08-12;false;Associate;toolset
4;Plaza Global scale;experiences loyalty;19425;44226;PERCENTAGE;FIRST;2021-08-11;2021-08-12;false;Doctrol;Metal Massachusetts Movies
5;Market Nebraska;calculate Tasty Maine;96947;18019;GPA;SECOND;2021-08-11;2021-08-11;false;HSC;payment
6;Accountability Administrator generating;strategic Toys channels;20564;62735;CGPA;FIRST;2021-08-11;2021-08-12;true;HSC;Utah
7;reboot Orchard;Small AI Metal;44217;49679;GPA;FIRST;2021-08-11;2021-08-12;true;HSC;Account
8;Cotton project;Egypt quantify Coordinator;26953;4014;GPA;FIRST;2021-08-12;2021-08-12;true;Diploma;hard
9;Steel;payment;80400;30694;GPA;FIRST;2021-08-11;2021-08-11;true;Doctrol;Communications generating
10;benchmark;Island Operations;40963;49693;GPA;SECOND;2021-08-11;2021-08-11;false;Doctrol;next-generation plum vertical
