id;name;email;phone;profile_link;relation_type
1;Kuwaiti drive;"sj.Zr@DE=B_0.g$$";(701) 984-4537;Officer;Supervisor
2;Account Clothing;"J&N=)@t9v.keG1W%";309.565.5138;Forward primary Sleek;Peer
3;salmon Solutions multi-byte;"p{hnm@T.A}";1-344-237-2964 x96514;Investor;Other
4;even-keeled Supervisor bandwidth;"?!@HX0!g.N:g#5U";924.575.5887 x899;virtual;Peer
5;Plastic;"?m1@F2.(`yl";610.630.4192;Designer Handcrafted;Other
6;Technician;"4@CU[/.*8eff~";565-681-0796;Chile Integration;Other
7;microchip;"*B@F.hO";293-894-1576 x13303;exuding;Other
8;Fish Computer experiences;"hQ@$S.Q";1-619-626-2217;Synchronised;Peer
9;Clothing PNG;"Wb@3*EUn.Z";1-308-538-1129 x3890;Internal;Peer
10;enterprise Internal invoice;"Jxbf5@L8:.m1*|6E";499.577.3908;Fresh;Other
