id;email;is_active;is_primary;tag
1;"!&])N@F<%H+x.A";false;false;mint Consultant circuit
2;"]2@&:&_6.XZT";false;false;distributed
3;"I&TL@,?.d";true;false;orange integrated
4;"XTAay5@Rv)O`.P5";true;true;HTTP Soft
5;"$:e@3o[Q.V}z;T";true;true;programming deliverables Group
6;"l:;6D@K.y=>";false;false;experiences Electronics Books
7;"^@kA.n1";false;false;visualize
8;")-(@\:H>G.a7";false;false;application SCSI firewall
9;"/'ZRKL@$:.}6";true;true;Wisconsin
10;"<5g0I:@B>p'J).z";false;true;Clothing Metal Green
