id;phone;is_active;is_primary;tag
1;595.325.4710 x600;false;true;system
2;1-941-242-3899 x6477;false;true;Fresh
3;(817) 867-5022;true;true;Checking
4;(967) 646-5123 x39046;false;false;Jewelery Bedfordshire
5;(549) 915-0017;true;true;Sports 6th
6;813.829.2377;true;false;Switzerland bypassing Ergonomic
7;(596) 253-8157 x1941;true;false;Sports Buckinghamshire
8;1-454-475-2335;false;true;wireless Berkshire
9;639-510-4469 x9523;false;true;aggregate
10;320-972-6144 x88667;false;true;Steel sexy utilize
