id;first_name;middle_name;last_name;primary_phone;description;date_of_birth;is_active
1;Matilde;Right-sized;Leannon;parsing;IB Mission;2021-08-12;true
2;Jaden;stable Curve;Schmidt;calculate;Tools Rufiyaa connecting;2021-08-12;false
3;Vladimir;Licensed Plains;Mayert;South fuchsia bus;Netherlands;2021-08-11;false
4;Lucio;withdrawal navigate;Gusikowski;Cheese B2B;haptic program;2021-08-11;true
5;Connor;protocol Regional;Dicki;Borders;systematic;2021-08-12;true
6;Kayley;Garden Valley Designer;Carroll;Borders;Wyoming Future;2021-08-11;false
7;Peter;Rwanda Account;Hackett;Alley sexy protocol;Switchable Movies;2021-08-11;false
8;Francisca;enhance directional incremental;Hills;Rubber Borders;Home Buckinghamshire;2021-08-11;false
9;Cathrine;dot-com Regional bandwidth;Rowe;Generic Rubber Program;index;2021-08-12;true
10;Theo;Outdoors;Nikolaus;Wisconsin;Belgium;2021-08-12;true
